participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
26,b859ynq4,iKKbQZ,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:44:56.967360,1,,,92.0,ddl128ng,,,,,0,0.02,1.0,ego_human,26,,0.0,1,1,26,,0.0,1,1,1,26,,28.0,1,2,1,1,1,26,,8.0,1,2,2,1,2,26,,0.0,1,1,2,1,3,26,,8.0,1,2,2,1,4,26,,8.0,1,2,2,1,5,26,,8.0,1,2,2,1,6,26,,8.0,1,2,2,1,7,26,,8.0,1,2,2,1,8,26,,8.0,1,2,2,1,9,26,,8.0,1,2,2,1,10,26,,0.0,1,,1,1
27,k5qndass,xcVkuT,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:47:24.586867,1,,,104.0,ddl128ng,,,,,0,0.02,1.0,ego_human,27,,0.0,1,1,27,,0.0,1,1,1,27,,20.0,4,1,1,1,1,27,,28.0,4,2,1,1,2,27,,8.0,4,2,2,1,3,27,,0.0,4,1,2,1,4,27,,8.0,4,2,2,1,5,27,,8.0,4,2,2,1,6,27,,8.0,4,2,2,1,7,27,,8.0,4,2,2,1,8,27,,8.0,4,2,2,1,9,27,,8.0,4,2,2,1,10,27,,0.0,1,,1,1
28,4po1t5yo,EYBwQB,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:52:53.132676,1,,,100.0,ddl128ng,,,,,0,0.02,1.0,ego_human,28,,0.0,1,1,28,,0.0,1,1,1,28,,20.0,1,1,1,1,1,28,,20.0,1,1,1,1,2,28,,28.0,1,2,1,1,3,28,,8.0,1,2,2,1,4,28,,8.0,1,2,2,1,5,28,,0.0,1,1,2,1,6,28,,0.0,1,1,2,1,7,28,,0.0,1,1,2,1,8,28,,8.0,1,2,2,1,9,28,,8.0,1,2,2,1,10,28,,0.0,1,,1,1
29,j11a79n8,jkvEfy,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:56:02.519279,1,,,172.0,ddl128ng,,,,,0,0.02,1.0,ego_human,29,,0.0,1,1,29,,0.0,1,1,1,29,,8.0,4,2,2,1,1,29,,28.0,4,2,1,1,2,29,,0.0,4,1,2,1,3,29,,28.0,4,2,1,1,4,29,,8.0,4,2,2,1,5,29,,28.0,4,2,1,1,6,29,,8.0,4,2,2,1,7,29,,28.0,4,2,1,1,8,29,,8.0,4,2,2,1,9,29,,28.0,4,2,1,1,10,29,,0.0,1,,1,1
30,nxim0i7c,3ByKou,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:03:29.199274,1,,,172.0,ddl128ng,,,,,0,0.02,1.0,ego_human,30,,0.0,1,1,30,,0.0,1,1,1,30,,28.0,3,2,1,1,1,30,,8.0,3,2,2,1,2,30,,28.0,3,2,1,1,3,30,,0.0,3,1,2,1,4,30,,28.0,3,2,1,1,5,30,,8.0,3,2,2,1,6,30,,28.0,3,2,1,1,7,30,,8.0,3,2,2,1,8,30,,28.0,3,2,1,1,9,30,,8.0,3,2,2,1,10,30,,0.0,1,,1,1
31,pczsejkn,hTqD5k,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:04:59.058245,1,,,76.0,ddl128ng,,,,,0,0.02,1.0,ego_human,31,,0.0,1,1,31,,0.0,1,1,1,31,,20.0,1,1,1,1,1,31,,20.0,1,1,1,1,2,31,,28.0,1,2,1,1,3,31,,0.0,1,1,2,1,4,31,,0.0,1,1,2,1,5,31,,0.0,1,1,2,1,6,31,,8.0,1,2,2,1,7,31,,0.0,1,1,2,1,8,31,,0.0,1,1,2,1,9,31,,0.0,1,1,2,1,10,31,,0.0,1,,1,1
32,9nbz17tt,PvTtdA,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:08:07.763777,1,,,204.0,ddl128ng,,,,,0,0.02,1.0,ego_human,32,,0.0,1,1,32,,0.0,1,1,1,32,,28.0,4,2,1,1,1,32,,8.0,4,2,2,1,2,32,,20.0,4,1,1,1,3,32,,20.0,4,1,1,1,4,32,,20.0,4,1,1,1,5,32,,20.0,4,1,1,1,6,32,,20.0,4,1,1,1,7,32,,20.0,4,1,1,1,8,32,,20.0,4,1,1,1,9,32,,28.0,4,2,1,1,10,32,,0.0,1,,1,1
33,h1i4o03i,PJfpGK,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:13:42.285425,1,,,196.0,ddl128ng,,,,,0,0.02,1.0,ego_human,33,,0.0,1,1,33,,0.0,1,1,1,33,,20.0,4,1,1,1,1,33,,20.0,4,1,1,1,2,33,,20.0,4,1,1,1,3,33,,20.0,4,1,1,1,4,33,,20.0,4,1,1,1,5,33,,20.0,4,1,1,1,6,33,,20.0,4,1,1,1,7,33,,20.0,4,1,1,1,8,33,,28.0,4,2,1,1,9,33,,8.0,4,2,2,1,10,33,,0.0,1,,1,1
34,tln1b4vz,ehU5KA,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:23:24.969105,1,,,200.0,ddl128ng,,,,,0,0.02,1.0,ego_human,34,,0.0,1,1,34,,0.0,1,1,1,34,,20.0,4,1,1,1,1,34,,20.0,4,1,1,1,2,34,,20.0,4,1,1,1,3,34,,20.0,4,1,1,1,4,34,,20.0,4,1,1,1,5,34,,20.0,4,1,1,1,6,34,,20.0,4,1,1,1,7,34,,20.0,4,1,1,1,8,34,,20.0,4,1,1,1,9,34,,20.0,4,1,1,1,10,34,,0.0,1,,1,1
35,g9939lrw,55IpNG,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:27:52.012477,1,,,112.0,ddl128ng,,,,,0,0.02,1.0,ego_human,35,,0.0,1,1,35,,0.0,1,1,1,35,,28.0,3,2,1,1,1,35,,28.0,3,2,1,1,2,35,,0.0,3,1,2,1,3,35,,8.0,3,2,2,1,4,35,,8.0,3,2,2,1,5,35,,8.0,3,2,2,1,6,35,,8.0,3,2,2,1,7,35,,8.0,3,2,2,1,8,35,,8.0,3,2,2,1,9,35,,8.0,3,2,2,1,10,35,,0.0,1,,1,1
36,wacrwahc,RT3pyd,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:42:31.819959,1,,,164.0,ddl128ng,,,,,0,0.02,1.0,ego_human,36,,0.0,1,1,36,,0.0,1,1,1,36,,28.0,3,2,1,1,1,36,,0.0,3,1,2,1,2,36,,28.0,3,2,1,1,3,36,,8.0,3,2,2,1,4,36,,8.0,3,2,2,1,5,36,,28.0,3,2,1,1,6,36,,28.0,3,2,1,1,7,36,,8.0,3,2,2,1,8,36,,0.0,3,1,2,1,9,36,,28.0,3,2,1,1,10,36,,0.0,1,,1,1
37,yuyv4pn7,WIjX4A,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:43:06.687538,1,,,84.0,ddl128ng,,,,,0,0.02,1.0,ego_human,37,,0.0,1,1,37,,0.0,1,1,1,37,,28.0,4,2,1,1,1,37,,0.0,4,1,2,1,2,37,,0.0,4,1,2,1,3,37,,8.0,4,2,2,1,4,37,,8.0,4,2,2,1,5,37,,8.0,4,2,2,1,6,37,,8.0,4,2,2,1,7,37,,8.0,4,2,2,1,8,37,,8.0,4,2,2,1,9,37,,8.0,4,2,2,1,10,37,,0.0,1,,1,1
38,284jt047,UtoDfW,0,44,45,clerpay_end,Auszahlung,2023-08-11 09:51:11.526970,1,,,200.0,ddl128ng,,,,,0,0.02,1.0,ego_human,38,,0.0,1,1,38,,0.0,1,1,1,38,,20.0,1,1,1,1,1,38,,20.0,1,1,1,1,2,38,,20.0,1,1,1,1,3,38,,20.0,1,1,1,1,4,38,,20.0,1,1,1,1,5,38,,20.0,1,1,1,1,6,38,,20.0,1,1,1,1,7,38,,20.0,1,1,1,1,8,38,,20.0,1,1,1,1,9,38,,20.0,1,1,1,1,10,38,,0.0,1,,1,1
39,w27excfr,uWPCW9,0,44,45,clerpay_end,Auszahlung,2023-08-11 10:06:09.329625,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,39,,0.0,1,1,39,,0.0,1,1,1,39,,20.0,1,1,1,1,1,39,,20.0,1,1,1,1,2,39,,20.0,1,1,1,1,3,39,,20.0,1,1,1,1,4,39,,20.0,1,1,1,1,5,39,,20.0,1,1,1,1,6,39,,20.0,1,1,1,1,7,39,,20.0,1,1,1,1,8,39,,20.0,1,1,1,1,9,39,,28.0,1,2,1,1,10,39,,0.0,1,,1,1
40,n4gqq3tn,Hl0dr7,0,44,45,clerpay_end,Auszahlung,2023-08-11 10:13:35.545904,1,,,100.0,ddl128ng,,,,,0,0.02,1.0,ego_human,40,,0.0,1,1,40,,0.0,1,1,1,40,,28.0,4,2,1,1,1,40,,8.0,4,2,2,1,2,40,,8.0,4,2,2,1,3,40,,8.0,4,2,2,1,4,40,,8.0,4,2,2,1,5,40,,8.0,4,2,2,1,6,40,,8.0,4,2,2,1,7,40,,8.0,4,2,2,1,8,40,,8.0,4,2,2,1,9,40,,8.0,4,2,2,1,10,40,,0.0,1,,1,1
41,3c4giq0x,RzsxBn,0,44,45,clerpay_end,Auszahlung,2023-08-11 10:14:19.105452,1,,,0.0,ddl128ng,,,,,0,0.02,1.0,ego_human,41,,0.0,1,1,41,,0.0,0,1,1,41,,0.0,4,-1,,1,1,41,,0.0,4,-1,,1,2,41,,0.0,4,-1,,1,3,41,,0.0,4,-1,,1,4,41,,0.0,4,-1,,1,5,41,,0.0,4,-1,,1,6,41,,0.0,4,-1,,1,7,41,,0.0,4,-1,,1,8,41,,0.0,4,-1,,1,9,41,,0.0,4,-1,,1,10,41,,0.0,1,,1,1
42,4cawqjgg,1IX9Wz,0,44,45,clerpay_end,Auszahlung,2023-08-11 10:22:01.007268,1,,,92.0,ddl128ng,,,,,0,0.02,1.0,ego_human,42,,0.0,1,1,42,,0.0,1,1,1,42,,28.0,1,2,1,1,1,42,,8.0,1,2,2,1,2,42,,0.0,1,1,2,1,3,42,,8.0,1,2,2,1,4,42,,8.0,1,2,2,1,5,42,,8.0,1,2,2,1,6,42,,8.0,1,2,2,1,7,42,,8.0,1,2,2,1,8,42,,8.0,1,2,2,1,9,42,,8.0,1,2,2,1,10,42,,0.0,1,,1,1
43,ndsua96p,BgRonZ,0,44,45,clerpay_end,Auszahlung,2023-08-11 10:51:33.421393,1,,,200.0,ddl128ng,,,,,0,0.02,1.0,ego_human,43,,0.0,1,1,43,,0.0,1,1,1,43,,20.0,3,1,1,1,1,43,,20.0,3,1,1,1,2,43,,20.0,3,1,1,1,3,43,,20.0,3,1,1,1,4,43,,20.0,3,1,1,1,5,43,,20.0,3,1,1,1,6,43,,20.0,3,1,1,1,7,43,,20.0,3,1,1,1,8,43,,20.0,3,1,1,1,9,43,,20.0,3,1,1,1,10,43,,0.0,1,,1,1
44,xy4t2v44,SWCCZL,0,44,45,clerpay_end,Auszahlung,2023-08-11 11:07:41.789283,1,,,200.0,ddl128ng,,,,,0,0.02,1.0,ego_human,44,,0.0,1,1,44,,0.0,1,1,1,44,,20.0,4,1,1,1,1,44,,20.0,4,1,1,1,2,44,,20.0,4,1,1,1,3,44,,20.0,4,1,1,1,4,44,,20.0,4,1,1,1,5,44,,20.0,4,1,1,1,6,44,,20.0,4,1,1,1,7,44,,20.0,4,1,1,1,8,44,,20.0,4,1,1,1,9,44,,20.0,4,1,1,1,10,44,,0.0,1,,1,1
45,ffwzepim,c0skrm,0,44,45,clerpay_end,Auszahlung,2023-08-11 11:20:55.909162,1,,,264.0,ddl128ng,,,,,0,0.02,1.0,ego_human,45,,0.0,1,1,45,,0.0,1,1,1,45,,20.0,3,1,1,1,1,45,,28.0,3,2,1,1,2,45,,20.0,3,1,1,1,3,45,,28.0,3,2,1,1,4,45,,28.0,3,2,1,1,5,45,,28.0,3,2,1,1,6,45,,28.0,3,2,1,1,7,45,,28.0,3,2,1,1,8,45,,28.0,3,2,1,1,9,45,,28.0,3,2,1,1,10,45,,0.0,1,,1,1
46,iedxdvdo,raIFab,0,44,45,clerpay_end,Auszahlung,2023-08-11 11:34:25.291235,1,,,196.0,ddl128ng,,,,,0,0.02,1.0,ego_human,46,,0.0,1,1,46,,0.0,1,1,1,46,,28.0,4,2,1,1,1,46,,8.0,4,2,2,1,2,46,,28.0,4,2,1,1,3,46,,8.0,4,2,2,1,4,46,,28.0,4,2,1,1,5,46,,8.0,4,2,2,1,6,46,,20.0,4,1,1,1,7,46,,20.0,4,1,1,1,8,46,,20.0,4,1,1,1,9,46,,28.0,4,2,1,1,10,46,,0.0,1,,1,1
47,tsvf2okb,VZxyFC,0,44,45,clerpay_end,Auszahlung,2023-08-11 11:57:31.415960,1,,,0.0,ddl128ng,,,,,0,0.02,1.0,ego_human,47,,0.0,1,1,47,,0.0,0,1,1,47,,0.0,4,-1,,1,1,47,,0.0,4,-1,,1,2,47,,0.0,4,-1,,1,3,47,,0.0,4,-1,,1,4,47,,0.0,4,-1,,1,5,47,,0.0,4,-1,,1,6,47,,0.0,4,-1,,1,7,47,,0.0,4,-1,,1,8,47,,0.0,4,-1,,1,9,47,,0.0,4,-1,,1,10,47,,0.0,1,,1,1
48,hd7su19j,,0,0,45,,,,0,,,0.0,ddl128ng,,,,,0,0.02,1.0,ego_human,48,,0.0,1,1,48,,0.0,0,1,1,48,,0.0,3,-1,,1,1,48,,0.0,3,-1,,1,2,48,,0.0,3,-1,,1,3,48,,0.0,3,-1,,1,4,48,,0.0,3,-1,,1,5,48,,0.0,3,-1,,1,6,48,,0.0,3,-1,,1,7,48,,0.0,3,-1,,1,8,48,,0.0,3,-1,,1,9,48,,0.0,3,-1,,1,10,48,,0.0,0,,1,1
49,3bj2w083,,0,0,45,,,,0,,,0.0,ddl128ng,,,,,0,0.02,1.0,ego_human,49,,0.0,1,1,49,,0.0,0,1,1,49,,0.0,4,-1,,1,1,49,,0.0,4,-1,,1,2,49,,0.0,4,-1,,1,3,49,,0.0,4,-1,,1,4,49,,0.0,4,-1,,1,5,49,,0.0,4,-1,,1,6,49,,0.0,4,-1,,1,7,49,,0.0,4,-1,,1,8,49,,0.0,4,-1,,1,9,49,,0.0,4,-1,,1,10,49,,0.0,0,,1,1
50,9296pi9u,,0,0,45,,,,0,,,0.0,ddl128ng,,,,,0,0.02,1.0,ego_human,50,,0.0,1,1,50,,0.0,0,1,1,50,,0.0,3,-1,,1,1,50,,0.0,3,-1,,1,2,50,,0.0,3,-1,,1,3,50,,0.0,3,-1,,1,4,50,,0.0,3,-1,,1,5,50,,0.0,3,-1,,1,6,50,,0.0,3,-1,,1,7,50,,0.0,3,-1,,1,8,50,,0.0,3,-1,,1,9,50,,0.0,3,-1,,1,10,50,,0.0,0,,1,1
