participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
11,y91r6b2u,Ntgh7j,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:08:13.465641,1,,,100.0,ddl128ng,,,,,0,0.02,1.0,ego_human,11,,0.0,1,1,11,,0.0,1,1,1,11,,28.0,4,2,1,1,1,11,,8.0,4,2,2,1,2,11,,8.0,4,2,2,1,3,11,,8.0,4,2,2,1,4,11,,8.0,4,2,2,1,5,11,,8.0,4,2,2,1,6,11,,8.0,4,2,2,1,7,11,,8.0,4,2,2,1,8,11,,8.0,4,2,2,1,9,11,,8.0,4,2,2,1,10,11,,0.0,1,,1,1
12,ehqdzhgq,20D9Vf,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:08:54.548402,1,,,172.0,ddl128ng,,,,,0,0.02,1.0,ego_human,12,,0.0,1,1,12,,0.0,1,1,1,12,,28.0,1,2,1,1,1,12,,0.0,1,1,2,1,2,12,,8.0,1,2,2,1,3,12,,28.0,1,2,1,1,4,12,,8.0,1,2,2,1,5,12,,28.0,1,2,1,1,6,12,,8.0,1,2,2,1,7,12,,28.0,1,2,1,1,8,12,,8.0,1,2,2,1,9,12,,28.0,1,2,1,1,10,12,,0.0,1,,1,1
13,mk151qnd,cPLPWb,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:10:09.617229,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,13,,0.0,1,1,13,,0.0,1,1,1,13,,20.0,1,1,1,1,1,13,,20.0,1,1,1,1,2,13,,20.0,1,1,1,1,3,13,,20.0,1,1,1,1,4,13,,20.0,1,1,1,1,5,13,,20.0,1,1,1,1,6,13,,20.0,1,1,1,1,7,13,,20.0,1,1,1,1,8,13,,20.0,1,1,1,1,9,13,,28.0,1,2,1,1,10,13,,0.0,1,,1,1
14,tgebbtli,hBzX0p,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:11:46.146776,1,,,88.0,ddl128ng,,,,,0,0.02,1.0,ego_human,14,,0.0,1,1,14,,0.0,1,1,1,14,,20.0,1,1,1,1,1,14,,28.0,1,2,1,1,2,14,,8.0,1,2,2,1,3,14,,0.0,1,1,2,1,4,14,,0.0,1,1,2,1,5,14,,0.0,1,1,2,1,6,14,,8.0,1,2,2,1,7,14,,8.0,1,2,2,1,8,14,,8.0,1,2,2,1,9,14,,8.0,1,2,2,1,10,14,,0.0,1,,1,1
15,rg6s4uqh,cvV24K,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:12:45.324958,1,,,100.0,ddl128ng,,,,,0,0.02,1.0,ego_human,15,,0.0,1,1,15,,0.0,1,1,1,15,,20.0,1,1,1,1,1,15,,20.0,1,1,1,1,2,15,,28.0,1,2,1,1,3,15,,0.0,1,1,2,1,4,15,,0.0,1,1,2,1,5,15,,0.0,1,1,2,1,6,15,,8.0,1,2,2,1,7,15,,8.0,1,2,2,1,8,15,,8.0,1,2,2,1,9,15,,8.0,1,2,2,1,10,15,,0.0,1,,1,1
16,r5vl7f9n,QzT8W1,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:14:45.217131,1,,,140.0,ddl128ng,,,,,0,0.02,1.0,ego_human,16,,0.0,1,1,16,,0.0,1,1,1,16,,20.0,3,1,1,1,1,16,,20.0,3,1,1,1,2,16,,28.0,3,2,1,1,3,16,,8.0,3,2,2,1,4,16,,28.0,3,2,1,1,5,16,,0.0,3,1,2,1,6,16,,0.0,3,1,2,1,7,16,,8.0,3,2,2,1,8,16,,28.0,3,2,1,1,9,16,,0.0,3,1,2,1,10,16,,0.0,1,,1,1
17,t82295y1,BRzmno,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:15:44.156369,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,17,,0.0,1,1,17,,0.0,1,1,1,17,,20.0,4,1,1,1,1,17,,20.0,4,1,1,1,2,17,,20.0,4,1,1,1,3,17,,20.0,4,1,1,1,4,17,,20.0,4,1,1,1,5,17,,20.0,4,1,1,1,6,17,,20.0,4,1,1,1,7,17,,20.0,4,1,1,1,8,17,,20.0,4,1,1,1,9,17,,28.0,4,2,1,1,10,17,,0.0,1,,1,1
18,7xis779y,HiMEkh,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:17:57.622909,1,,,196.0,ddl128ng,,,,,0,0.02,1.0,ego_human,18,,0.0,1,1,18,,0.0,1,1,1,18,,28.0,3,2,1,1,1,18,,8.0,3,2,2,1,2,18,,20.0,3,1,1,1,3,18,,20.0,3,1,1,1,4,18,,20.0,3,1,1,1,5,18,,20.0,3,1,1,1,6,18,,20.0,3,1,1,1,7,18,,20.0,3,1,1,1,8,18,,20.0,3,1,1,1,9,18,,20.0,3,1,1,1,10,18,,0.0,1,,1,1
19,df28zs33,6l4IL3,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:21:09.153372,1,,,92.0,ddl128ng,,,,,0,0.02,1.0,ego_human,19,,0.0,1,1,19,,0.0,1,1,1,19,,28.0,1,2,1,1,1,19,,0.0,1,1,2,1,2,19,,8.0,1,2,2,1,3,19,,8.0,1,2,2,1,4,19,,8.0,1,2,2,1,5,19,,8.0,1,2,2,1,6,19,,8.0,1,2,2,1,7,19,,8.0,1,2,2,1,8,19,,8.0,1,2,2,1,9,19,,8.0,1,2,2,1,10,19,,0.0,1,,1,1
20,v54h3u7o,9OnbaT,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:23:30.604453,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,20,,0.0,1,1,20,,0.0,1,1,1,20,,20.0,1,1,1,1,1,20,,20.0,1,1,1,1,2,20,,20.0,1,1,1,1,3,20,,20.0,1,1,1,1,4,20,,20.0,1,1,1,1,5,20,,20.0,1,1,1,1,6,20,,20.0,1,1,1,1,7,20,,20.0,1,1,1,1,8,20,,20.0,1,1,1,1,9,20,,28.0,1,2,1,1,10,20,,0.0,1,,1,1
21,k5max4c6,AN9RNz,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:25:40.538670,1,,,200.0,ddl128ng,,,,,0,0.02,1.0,ego_human,21,,0.0,1,1,21,,0.0,1,1,1,21,,20.0,4,1,1,1,1,21,,20.0,4,1,1,1,2,21,,20.0,4,1,1,1,3,21,,20.0,4,1,1,1,4,21,,20.0,4,1,1,1,5,21,,20.0,4,1,1,1,6,21,,20.0,4,1,1,1,7,21,,20.0,4,1,1,1,8,21,,20.0,4,1,1,1,9,21,,20.0,4,1,1,1,10,21,,0.0,1,,1,1
22,49xkbr4x,GZgmdh,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:32:39.023662,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,22,,0.0,1,1,22,,0.0,1,1,1,22,,20.0,1,1,1,1,1,22,,20.0,1,1,1,1,2,22,,20.0,1,1,1,1,3,22,,20.0,1,1,1,1,4,22,,20.0,1,1,1,1,5,22,,20.0,1,1,1,1,6,22,,20.0,1,1,1,1,7,22,,20.0,1,1,1,1,8,22,,20.0,1,1,1,1,9,22,,28.0,1,2,1,1,10,22,,0.0,1,,1,1
23,lddyctyl,BaUoHf,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:35:22.282772,1,,,200.0,ddl128ng,,,,,0,0.02,1.0,ego_human,23,,0.0,1,1,23,,0.0,1,1,1,23,,20.0,3,1,1,1,1,23,,20.0,3,1,1,1,2,23,,20.0,3,1,1,1,3,23,,20.0,3,1,1,1,4,23,,20.0,3,1,1,1,5,23,,20.0,3,1,1,1,6,23,,20.0,3,1,1,1,7,23,,20.0,3,1,1,1,8,23,,20.0,3,1,1,1,9,23,,20.0,3,1,1,1,10,23,,0.0,1,,1,1
24,fpfncwxh,R6vHSx,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:35:43.043695,1,,,176.0,ddl128ng,,,,,0,0.02,1.0,ego_human,24,,0.0,1,1,24,,0.0,1,1,1,24,,20.0,3,1,1,1,1,24,,20.0,3,1,1,1,2,24,,20.0,3,1,1,1,3,24,,20.0,3,1,1,1,4,24,,20.0,3,1,1,1,5,24,,20.0,3,1,1,1,6,24,,20.0,3,1,1,1,7,24,,28.0,3,2,1,1,8,24,,0.0,3,1,2,1,9,24,,8.0,3,2,2,1,10,24,,0.0,1,,1,1
25,pxa667xt,SzWmCK,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:39:40.095659,1,,,92.0,ddl128ng,,,,,0,0.02,1.0,ego_human,25,,0.0,1,1,25,,0.0,1,1,1,25,,28.0,1,2,1,1,1,25,,8.0,1,2,2,1,2,25,,8.0,1,2,2,1,3,25,,0.0,1,1,2,1,4,25,,8.0,1,2,2,1,5,25,,8.0,1,2,2,1,6,25,,8.0,1,2,2,1,7,25,,8.0,1,2,2,1,8,25,,8.0,1,2,2,1,9,25,,8.0,1,2,2,1,10,25,,0.0,1,,1,1
