participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.participation_fee,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.llm_id,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.llm_id,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.llm_id,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.llm_id,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.llm_id,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.llm_id,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.llm_id,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.llm_id,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.llm_id,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.llm_id,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
11,qq1xbf0d,ITWtNv,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:01:34.012858,1,,,156.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,11,,0.0,1,1,11,,0.0,1,1,1,11,,20.0,96e66c90-fcbd-4ea3-a3b1-28bfca7835ed,1,1,1,1,1,11,,20.0,,1,1,1,1,2,11,,20.0,,1,1,1,1,3,11,,20.0,,1,1,1,1,4,11,,20.0,,1,1,1,1,5,11,,20.0,,1,1,1,1,6,11,,28.0,,1,2,1,1,7,11,,0.0,,1,1,2,1,8,11,,0.0,,1,1,2,1,9,11,,8.0,,1,2,2,1,10,11,,0.0,1,,1,1
12,fuy8by3m,7yUN8I,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:01:54.608358,1,,,144.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,12,,0.0,1,1,12,,0.0,1,1,1,12,,28.0,1da6a936-1c8f-4275-9565-06b4b45741fd,4,2,1,1,1,12,,8.0,,4,2,2,1,2,12,,8.0,,4,2,2,1,3,12,,0.0,,4,1,2,1,4,12,,0.0,,4,1,2,1,5,12,,20.0,,4,1,1,1,6,12,,20.0,,4,1,1,1,7,12,,20.0,,4,1,1,1,8,12,,20.0,,4,1,1,1,9,12,,20.0,,4,1,1,1,10,12,,0.0,1,,1,1
13,l0mtst95,nx1OaJ,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:02:06.301638,1,,,208.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,13,,0.0,1,1,13,,0.0,1,1,1,13,,20.0,d18d2bd1-8de2-4f39-be16-ac0dd56ab38a,4,1,1,1,1,13,,20.0,,4,1,1,1,2,13,,20.0,,4,1,1,1,3,13,,20.0,,4,1,1,1,4,13,,20.0,,4,1,1,1,5,13,,20.0,,4,1,1,1,6,13,,20.0,,4,1,1,1,7,13,,20.0,,4,1,1,1,8,13,,20.0,,4,1,1,1,9,13,,28.0,,4,2,1,1,10,13,,0.0,1,,1,1
14,o7gxc2df,otqwJ4,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:02:32.076692,1,,,104.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,14,,0.0,1,1,14,,0.0,1,1,1,14,,20.0,16272173-042f-444c-8256-1b8f1f256de8,4,1,1,1,1,14,,28.0,,4,2,1,1,2,14,,8.0,,4,2,2,1,3,14,,8.0,,4,2,2,1,4,14,,8.0,,4,2,2,1,5,14,,8.0,,4,2,2,1,6,14,,0.0,,4,1,2,1,7,14,,8.0,,4,2,2,1,8,14,,8.0,,4,2,2,1,9,14,,8.0,,4,2,2,1,10,14,,0.0,1,,1,1
15,9r0fd30m,kmbXQk,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:02:45.214426,1,,,200.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,15,,0.0,1,1,15,,0.0,1,1,1,15,,20.0,9a2cf890-0ed7-471e-977d-617f85ef3cfe,1,1,1,1,1,15,,20.0,,1,1,1,1,2,15,,20.0,,1,1,1,1,3,15,,20.0,,1,1,1,1,4,15,,20.0,,1,1,1,1,5,15,,20.0,,1,1,1,1,6,15,,20.0,,1,1,1,1,7,15,,20.0,,1,1,1,1,8,15,,20.0,,1,1,1,1,9,15,,20.0,,1,1,1,1,10,15,,0.0,1,,1,1
16,kug09qnd,eQ4mBH,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:03:20.399023,1,,,116.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,16,,0.0,1,1,16,,0.0,1,1,1,16,,20.0,63f7ea9a-462a-40ee-a437-cc32072f7f56,4,1,1,1,1,16,,20.0,,4,1,1,1,2,16,,28.0,,4,2,1,1,3,16,,0.0,,4,1,2,1,4,16,,8.0,,4,2,2,1,5,16,,8.0,,4,2,2,1,6,16,,8.0,,4,2,2,1,7,16,,8.0,,4,2,2,1,8,16,,8.0,,4,2,2,1,9,16,,8.0,,4,2,2,1,10,16,,0.0,1,,1,1
17,109gg6qf,0jsliM,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:03:20.374342,1,,,0.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,17,,0.0,1,1,17,,0.0,0,1,1,17,,0.0,250c2efc-c904-43ff-9ae6-16538567ec05,3,-1,,1,1,17,,0.0,,3,-1,,1,2,17,,0.0,,3,-1,,1,3,17,,0.0,,3,-1,,1,4,17,,0.0,,3,-1,,1,5,17,,0.0,,3,-1,,1,6,17,,0.0,,3,-1,,1,7,17,,0.0,,3,-1,,1,8,17,,0.0,,3,-1,,1,9,17,,0.0,,3,-1,,1,10,17,,0.0,1,,1,1
18,rjiuixuu,5FUwF3,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:03:36.753477,1,,,104.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,18,,0.0,1,1,18,,0.0,1,1,1,18,,20.0,f106eddb-8b48-42cb-bf4b-548e5a819ffc,1,1,1,1,1,18,,28.0,,1,2,1,1,2,18,,8.0,,1,2,2,1,3,18,,8.0,,1,2,2,1,4,18,,8.0,,1,2,2,1,5,18,,0.0,,1,1,2,1,6,18,,8.0,,1,2,2,1,7,18,,8.0,,1,2,2,1,8,18,,8.0,,1,2,2,1,9,18,,8.0,,1,2,2,1,10,18,,0.0,1,,1,1
19,ebypsc2x,vWAtku,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:03:44.689437,1,,,92.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,19,,0.0,1,1,19,,0.0,1,1,1,19,,28.0,7a048f92-fb46-49b0-aa09-984f2a82c2b7,3,2,1,1,1,19,,8.0,,3,2,2,1,2,19,,0.0,,3,1,2,1,3,19,,8.0,,3,2,2,1,4,19,,8.0,,3,2,2,1,5,19,,8.0,,3,2,2,1,6,19,,8.0,,3,2,2,1,7,19,,8.0,,3,2,2,1,8,19,,8.0,,3,2,2,1,9,19,,8.0,,3,2,2,1,10,19,,0.0,1,,1,1
20,4qirc2dw,fAaiRS,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:03:52.878245,1,,,0.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,20,,0.0,1,1,20,,0.0,0,1,1,20,,0.0,7c9eed01-0000-458e-b26c-9a9b76b940b8,1,-1,,1,1,20,,0.0,,1,-1,,1,2,20,,0.0,,1,-1,,1,3,20,,0.0,,1,-1,,1,4,20,,0.0,,1,-1,,1,5,20,,0.0,,1,-1,,1,6,20,,0.0,,1,-1,,1,7,20,,0.0,,1,-1,,1,8,20,,0.0,,1,-1,,1,9,20,,0.0,,1,-1,,1,10,20,,0.0,1,,1,1
