participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.llm_id,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.llm_id,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.llm_id,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.llm_id,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.llm_id,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.llm_id,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.llm_id,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.llm_id,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.llm_id,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.llm_id,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
11,4gg1n0z4,3YecuH,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:19:21.861427,1,,,92.0,7109kxxy,,,,,0,1.0,ego_human,0.02,11,,0.0,1,1,11,,0.0,1,1,1,11,,28.0,5cc45ac7-e21d-4821-b04c-e6a94d08b192,1,2,1,1,1,11,,0.0,,1,1,2,1,2,11,,8.0,,1,2,2,1,3,11,,8.0,,1,2,2,1,4,11,,8.0,,1,2,2,1,5,11,,8.0,,1,2,2,1,6,11,,8.0,,1,2,2,1,7,11,,8.0,,1,2,2,1,8,11,,8.0,,1,2,2,1,9,11,,8.0,,1,2,2,1,10,11,,0.0,1,,1,1
12,f2kjjppx,kejnc8,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:19:39.470061,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,12,,0.0,1,1,12,,0.0,1,1,1,12,,20.0,048285ca-aaec-4151-8c56-0cded9a98362,3,1,1,1,1,12,,20.0,,3,1,1,1,2,12,,20.0,,3,1,1,1,3,12,,20.0,,3,1,1,1,4,12,,20.0,,3,1,1,1,5,12,,20.0,,3,1,1,1,6,12,,20.0,,3,1,1,1,7,12,,20.0,,3,1,1,1,8,12,,20.0,,3,1,1,1,9,12,,28.0,,3,2,1,1,10,12,,0.0,1,,1,1
13,u2vm565c,NKktr4,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:24:38.834791,1,,,184.0,7109kxxy,,,,,0,1.0,ego_human,0.02,13,,0.0,1,1,13,,0.0,1,1,1,13,,20.0,2ee00123-1e4b-457a-9284-13a6759a69b4,3,1,1,1,1,13,,20.0,,3,1,1,1,2,13,,20.0,,3,1,1,1,3,13,,20.0,,3,1,1,1,4,13,,28.0,,3,2,1,1,5,13,,0.0,,3,1,2,1,6,13,,8.0,,3,2,2,1,7,13,,20.0,,3,1,1,1,8,13,,20.0,,3,1,1,1,9,13,,28.0,,3,2,1,1,10,13,,0.0,1,,1,1
14,hp0xov1f,NwTpF1,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:33:42.536555,1,,,92.0,7109kxxy,,,,,0,1.0,ego_human,0.02,14,,0.0,1,1,14,,0.0,1,1,1,14,,28.0,c7022f3f-0544-479e-bf51-eca6b523bcc2,1,2,1,1,1,14,,8.0,,1,2,2,1,2,14,,8.0,,1,2,2,1,3,14,,8.0,,1,2,2,1,4,14,,0.0,,1,1,2,1,5,14,,8.0,,1,2,2,1,6,14,,8.0,,1,2,2,1,7,14,,8.0,,1,2,2,1,8,14,,8.0,,1,2,2,1,9,14,,8.0,,1,2,2,1,10,14,,0.0,1,,1,1
15,qthp5n4h,Gwo4tl,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:34:47.710601,1,,,152.0,7109kxxy,,,,,0,1.0,ego_human,0.02,15,,0.0,1,1,15,,0.0,1,1,1,15,,28.0,914887eb-0bda-48c1-a960-3fffb563df25,4,2,1,1,1,15,,8.0,,4,2,2,1,2,15,,28.0,,4,2,1,1,3,15,,8.0,,4,2,2,1,4,15,,28.0,,4,2,1,1,5,15,,0.0,,4,1,2,1,6,15,,8.0,,4,2,2,1,7,15,,28.0,,4,2,1,1,8,15,,8.0,,4,2,2,1,9,15,,8.0,,4,2,2,1,10,15,,0.0,1,,1,1
16,lq79vkhw,EcNZea,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:35:55.150566,1,,,108.0,7109kxxy,,,,,0,1.0,ego_human,0.02,16,,0.0,1,1,16,,0.0,1,1,1,16,,20.0,c61ffde4-38c2-4fa8-a7d9-c9289df77273,4,1,1,1,1,16,,20.0,,4,1,1,1,2,16,,28.0,,4,2,1,1,3,16,,8.0,,4,2,2,1,4,16,,0.0,,4,1,2,1,5,16,,8.0,,4,2,2,1,6,16,,0.0,,4,1,2,1,7,16,,8.0,,4,2,2,1,8,16,,8.0,,4,2,2,1,9,16,,8.0,,4,2,2,1,10,16,,0.0,1,,1,1
17,5rmelbaf,VdNFWo,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:44:01.854915,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,17,,0.0,1,1,17,,0.0,1,1,1,17,,20.0,45367948-a8e3-4f87-a613-cb8367017430,1,1,1,1,1,17,,20.0,,1,1,1,1,2,17,,20.0,,1,1,1,1,3,17,,20.0,,1,1,1,1,4,17,,20.0,,1,1,1,1,5,17,,20.0,,1,1,1,1,6,17,,20.0,,1,1,1,1,7,17,,20.0,,1,1,1,1,8,17,,20.0,,1,1,1,1,9,17,,28.0,,1,2,1,1,10,17,,0.0,1,,1,1
18,a67wvg0g,TRbo5B,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:47:00.792308,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,18,,0.0,1,1,18,,0.0,1,1,1,18,,20.0,a5d2bff7-344e-4bd4-8dcf-64995b98a82a,3,1,1,1,1,18,,20.0,,3,1,1,1,2,18,,20.0,,3,1,1,1,3,18,,20.0,,3,1,1,1,4,18,,20.0,,3,1,1,1,5,18,,20.0,,3,1,1,1,6,18,,20.0,,3,1,1,1,7,18,,20.0,,3,1,1,1,8,18,,20.0,,3,1,1,1,9,18,,28.0,,3,2,1,1,10,18,,0.0,1,,1,1
19,vc39prgx,5wrgzO,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:51:10.257863,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,19,,0.0,1,1,19,,0.0,1,1,1,19,,20.0,0aa37dc3-fc18-4337-9cc3-a62c721d218c,4,1,1,1,1,19,,20.0,,4,1,1,1,2,19,,20.0,,4,1,1,1,3,19,,20.0,,4,1,1,1,4,19,,20.0,,4,1,1,1,5,19,,20.0,,4,1,1,1,6,19,,20.0,,4,1,1,1,7,19,,20.0,,4,1,1,1,8,19,,20.0,,4,1,1,1,9,19,,28.0,,4,2,1,1,10,19,,0.0,1,,1,1
20,3oqakmqp,aI5Oob,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:00:55.218787,1,,,180.0,7109kxxy,,,,,0,1.0,ego_human,0.02,20,,0.0,1,1,20,,0.0,1,1,1,20,,28.0,0ea806b8-03e1-4c08-8407-897cf6f40703,4,2,1,1,1,20,,8.0,,4,2,2,1,2,20,,28.0,,4,2,1,1,3,20,,8.0,,4,2,2,1,4,20,,28.0,,4,2,1,1,5,20,,8.0,,4,2,2,1,6,20,,28.0,,4,2,1,1,7,20,,8.0,,4,2,2,1,8,20,,28.0,,4,2,1,1,9,20,,8.0,,4,2,2,1,10,20,,0.0,1,,1,1
