participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.llm_id,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.llm_id,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.llm_id,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.llm_id,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.llm_id,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.llm_id,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.llm_id,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.llm_id,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.llm_id,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.llm_id,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
21,loklp82a,YAizhJ,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:01:38.280317,1,,,92.0,7109kxxy,,,,,0,1.0,ego_human,0.02,21,,0.0,1,1,21,,0.0,1,1,1,21,,28.0,ffff15a5-ea2a-46cc-bf42-c89da4b83a7f,1,2,1,1,1,21,,8.0,,1,2,2,1,2,21,,8.0,,1,2,2,1,3,21,,8.0,,1,2,2,1,4,21,,8.0,,1,2,2,1,5,21,,0.0,,1,1,2,1,6,21,,8.0,,1,2,2,1,7,21,,8.0,,1,2,2,1,8,21,,8.0,,1,2,2,1,9,21,,8.0,,1,2,2,1,10,21,,0.0,1,,1,1
22,qb160r1z,liun15,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:13:06.035709,1,,,96.0,7109kxxy,,,,,0,1.0,ego_human,0.02,22,,0.0,1,1,22,,0.0,1,1,1,22,,20.0,26951c71-8260-4d59-a671-770b1a2e35b4,1,1,1,1,1,22,,28.0,,1,2,1,1,2,22,,8.0,,1,2,2,1,3,22,,0.0,,1,1,2,1,4,22,,0.0,,1,1,2,1,5,22,,8.0,,1,2,2,1,6,22,,8.0,,1,2,2,1,7,22,,8.0,,1,2,2,1,8,22,,8.0,,1,2,2,1,9,22,,8.0,,1,2,2,1,10,22,,0.0,1,,1,1
23,rlnw86dk,4ZRT2R,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:15:41.579489,1,,,76.0,7109kxxy,,,,,0,1.0,ego_human,0.02,23,,0.0,1,1,23,,0.0,1,1,1,23,,28.0,3a6037a3-6393-431e-9b8d-52480a5369e2,4,2,1,1,1,23,,8.0,,4,2,2,1,2,23,,8.0,,4,2,2,1,3,23,,0.0,,4,1,2,1,4,23,,8.0,,4,2,2,1,5,23,,0.0,,4,1,2,1,6,23,,0.0,,4,1,2,1,7,23,,8.0,,4,2,2,1,8,23,,8.0,,4,2,2,1,9,23,,8.0,,4,2,2,1,10,23,,0.0,1,,1,1
24,b5p3uuh3,OubPXn,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:25:13.079307,1,,,180.0,7109kxxy,,,,,0,1.0,ego_human,0.02,24,,0.0,1,1,24,,0.0,1,1,1,24,,28.0,7c585556-4d28-45d7-b02b-67eafba5c2a6,4,2,1,1,1,24,,8.0,,4,2,2,1,2,24,,28.0,,4,2,1,1,3,24,,8.0,,4,2,2,1,4,24,,28.0,,4,2,1,1,5,24,,8.0,,4,2,2,1,6,24,,28.0,,4,2,1,1,7,24,,8.0,,4,2,2,1,8,24,,28.0,,4,2,1,1,9,24,,8.0,,4,2,2,1,10,24,,0.0,1,,1,1
25,bxe15j8s,WjdR4F,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:26:25.412829,1,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,25,,0.0,1,1,25,,0.0,0,1,1,25,,0.0,23da2899-c08c-45fa-88fe-e43f779e5e91,1,-1,,1,1,25,,0.0,,1,-1,,1,2,25,,0.0,,1,-1,,1,3,25,,0.0,,1,-1,,1,4,25,,0.0,,1,-1,,1,5,25,,0.0,,1,-1,,1,6,25,,0.0,,1,-1,,1,7,25,,0.0,,1,-1,,1,8,25,,0.0,,1,-1,,1,9,25,,0.0,,1,-1,,1,10,25,,0.0,1,,1,1
26,n49q7ebs,glxQ4o,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:31:29.411563,1,,,180.0,7109kxxy,,,,,0,1.0,ego_human,0.02,26,,0.0,1,1,26,,0.0,1,1,1,26,,28.0,c5abccd0-593f-4a4c-bbf6-8b015ecfd141,4,2,1,1,1,26,,8.0,,4,2,2,1,2,26,,28.0,,4,2,1,1,3,26,,8.0,,4,2,2,1,4,26,,28.0,,4,2,1,1,5,26,,8.0,,4,2,2,1,6,26,,28.0,,4,2,1,1,7,26,,8.0,,4,2,2,1,8,26,,28.0,,4,2,1,1,9,26,,8.0,,4,2,2,1,10,26,,0.0,1,,1,1
27,jjewq03e,l3uhQ3,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:32:26.015344,1,,,196.0,7109kxxy,,,,,0,1.0,ego_human,0.02,27,,0.0,1,1,27,,0.0,1,1,1,27,,20.0,4eebe2c4-c2c1-43b3-8f55-b9b106fe2738,4,1,1,1,1,27,,20.0,,4,1,1,1,2,27,,20.0,,4,1,1,1,3,27,,20.0,,4,1,1,1,4,27,,20.0,,4,1,1,1,5,27,,20.0,,4,1,1,1,6,27,,20.0,,4,1,1,1,7,27,,20.0,,4,1,1,1,8,27,,28.0,,4,2,1,1,9,27,,8.0,,4,2,2,1,10,27,,0.0,1,,1,1
28,l2k8gieu,WgvADj,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:46:35.938321,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,28,,0.0,1,1,28,,0.0,1,1,1,28,,20.0,1c131c46-3f0f-40be-a712-8dfc0a054fb0,1,1,1,1,1,28,,20.0,,1,1,1,1,2,28,,20.0,,1,1,1,1,3,28,,20.0,,1,1,1,1,4,28,,20.0,,1,1,1,1,5,28,,20.0,,1,1,1,1,6,28,,20.0,,1,1,1,1,7,28,,20.0,,1,1,1,1,8,28,,20.0,,1,1,1,1,9,28,,28.0,,1,2,1,1,10,28,,0.0,1,,1,1
29,8qghmgnc,Wref5u,0,44,45,clerpay_end,Auszahlung,2023-08-15 09:58:31.810169,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,29,,0.0,1,1,29,,0.0,1,1,1,29,,20.0,0efc1902-1ca6-46b0-93df-36230032f4b6,4,1,1,1,1,29,,20.0,,4,1,1,1,2,29,,20.0,,4,1,1,1,3,29,,20.0,,4,1,1,1,4,29,,20.0,,4,1,1,1,5,29,,20.0,,4,1,1,1,6,29,,20.0,,4,1,1,1,7,29,,20.0,,4,1,1,1,8,29,,20.0,,4,1,1,1,9,29,,28.0,,4,2,1,1,10,29,,0.0,1,,1,1
30,ja7byrol,OBL18Z,0,44,45,clerpay_end,Auszahlung,2023-08-15 10:20:11.005102,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,30,,0.0,1,1,30,,0.0,1,1,1,30,,20.0,73d9963c-6c70-4ad7-83b2-a889c6d39665,1,1,1,1,1,30,,20.0,,1,1,1,1,2,30,,20.0,,1,1,1,1,3,30,,20.0,,1,1,1,1,4,30,,20.0,,1,1,1,1,5,30,,20.0,,1,1,1,1,6,30,,20.0,,1,1,1,1,7,30,,20.0,,1,1,1,1,8,30,,20.0,,1,1,1,1,9,30,,28.0,,1,2,1,1,10,30,,0.0,1,,1,1
31,g1vrxy5x,jJdwSI,0,44,45,clerpay_end,Auszahlung,2023-08-15 10:21:06.917623,1,,,200.0,7109kxxy,,,,,0,1.0,ego_human,0.02,31,,0.0,1,1,31,,0.0,1,1,1,31,,20.0,5a4bc0a3-6b4e-4bda-b2e3-0bf0c4731f77,3,1,1,1,1,31,,20.0,,3,1,1,1,2,31,,20.0,,3,1,1,1,3,31,,20.0,,3,1,1,1,4,31,,20.0,,3,1,1,1,5,31,,20.0,,3,1,1,1,6,31,,20.0,,3,1,1,1,7,31,,20.0,,3,1,1,1,8,31,,20.0,,3,1,1,1,9,31,,20.0,,3,1,1,1,10,31,,0.0,1,,1,1
32,4lnb2r6g,2iTp9Q,0,44,45,clerpay_end,Auszahlung,2023-08-15 10:40:50.600952,1,,,84.0,7109kxxy,,,,,0,1.0,ego_human,0.02,32,,0.0,1,1,32,,0.0,1,1,1,32,,28.0,6a9a4b8a-c981-4d25-9725-90f028c1d8db,4,2,1,1,1,32,,8.0,,4,2,2,1,2,32,,0.0,,4,1,2,1,3,32,,8.0,,4,2,2,1,4,32,,0.0,,4,1,2,1,5,32,,8.0,,4,2,2,1,6,32,,8.0,,4,2,2,1,7,32,,8.0,,4,2,2,1,8,32,,8.0,,4,2,2,1,9,32,,8.0,,4,2,2,1,10,32,,0.0,1,,1,1
33,iy25z3kz,NXWwtD,0,2,45,ego_consent,Consent,2023-08-15 10:45:28.932944,1,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,33,,0.0,1,1,33,,0.0,0,1,1,33,,0.0,3b3442a7-abaa-4f2f-84de-2a7759d654f6,3,-1,,1,1,33,,0.0,,3,-1,,1,2,33,,0.0,,3,-1,,1,3,33,,0.0,,3,-1,,1,4,33,,0.0,,3,-1,,1,5,33,,0.0,,3,-1,,1,6,33,,0.0,,3,-1,,1,7,33,,0.0,,3,-1,,1,8,33,,0.0,,3,-1,,1,9,33,,0.0,,3,-1,,1,10,33,,0.0,0,,1,1
34,2h3yapdl,hF2veg,0,44,45,clerpay_end,Auszahlung,2023-08-15 11:20:59.656540,1,,,172.0,7109kxxy,,,,,0,1.0,ego_human,0.02,34,,0.0,1,1,34,,0.0,1,1,1,34,,28.0,9ab18aad-6d41-443f-b511-64e57d47114c,3,2,1,1,1,34,,0.0,,3,1,2,1,2,34,,8.0,,3,2,2,1,3,34,,28.0,,3,2,1,1,4,34,,8.0,,3,2,2,1,5,34,,8.0,,3,2,2,1,6,34,,28.0,,3,2,1,1,7,34,,8.0,,3,2,2,1,8,34,,28.0,,3,2,1,1,9,34,,28.0,,3,2,1,1,10,34,,0.0,1,,1,1
35,u1rubff0,xhoNKW,0,44,45,clerpay_end,Auszahlung,2023-08-15 11:33:05.961361,1,,,200.0,7109kxxy,,,,,0,1.0,ego_human,0.02,35,,0.0,1,1,35,,0.0,1,1,1,35,,20.0,808ffb49-4ccf-4f99-936a-a6000eb3c1c7,3,1,1,1,1,35,,20.0,,3,1,1,1,2,35,,20.0,,3,1,1,1,3,35,,20.0,,3,1,1,1,4,35,,20.0,,3,1,1,1,5,35,,20.0,,3,1,1,1,6,35,,20.0,,3,1,1,1,7,35,,20.0,,3,1,1,1,8,35,,20.0,,3,1,1,1,9,35,,20.0,,3,1,1,1,10,35,,0.0,1,,1,1
36,qtsimmh1,QtMHSO,0,44,45,clerpay_end,Auszahlung,2023-08-15 11:44:22.289218,1,,,196.0,7109kxxy,,,,,0,1.0,ego_human,0.02,36,,0.0,1,1,36,,0.0,1,1,1,36,,20.0,4a442dfd-00fa-4319-8a57-82b88ecce668,3,1,1,1,1,36,,20.0,,3,1,1,1,2,36,,20.0,,3,1,1,1,3,36,,20.0,,3,1,1,1,4,36,,20.0,,3,1,1,1,5,36,,20.0,,3,1,1,1,6,36,,20.0,,3,1,1,1,7,36,,20.0,,3,1,1,1,8,36,,28.0,,3,2,1,1,9,36,,8.0,,3,2,2,1,10,36,,0.0,1,,1,1
37,9rpu8vfz,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,37,,0.0,1,1,37,,0.0,0,1,1,37,,0.0,892bcbdc-5372-40da-acaf-8a1de3ab248e,3,-1,,1,1,37,,0.0,,3,-1,,1,2,37,,0.0,,3,-1,,1,3,37,,0.0,,3,-1,,1,4,37,,0.0,,3,-1,,1,5,37,,0.0,,3,-1,,1,6,37,,0.0,,3,-1,,1,7,37,,0.0,,3,-1,,1,8,37,,0.0,,3,-1,,1,9,37,,0.0,,3,-1,,1,10,37,,0.0,0,,1,1
38,ee4jdtuv,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,38,,0.0,1,1,38,,0.0,0,1,1,38,,0.0,dc307741-ca08-4388-81d9-ba48b5ae5067,4,-1,,1,1,38,,0.0,,4,-1,,1,2,38,,0.0,,4,-1,,1,3,38,,0.0,,4,-1,,1,4,38,,0.0,,4,-1,,1,5,38,,0.0,,4,-1,,1,6,38,,0.0,,4,-1,,1,7,38,,0.0,,4,-1,,1,8,38,,0.0,,4,-1,,1,9,38,,0.0,,4,-1,,1,10,38,,0.0,0,,1,1
39,bjf3ik6q,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,39,,0.0,1,1,39,,0.0,0,1,1,39,,0.0,928d53d5-877f-472d-80af-d097da7f611a,4,-1,,1,1,39,,0.0,,4,-1,,1,2,39,,0.0,,4,-1,,1,3,39,,0.0,,4,-1,,1,4,39,,0.0,,4,-1,,1,5,39,,0.0,,4,-1,,1,6,39,,0.0,,4,-1,,1,7,39,,0.0,,4,-1,,1,8,39,,0.0,,4,-1,,1,9,39,,0.0,,4,-1,,1,10,39,,0.0,0,,1,1
40,4pift3om,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,40,,0.0,1,1,40,,0.0,0,1,1,40,,0.0,efcc4f22-458a-4635-866d-afc353c97f50,4,-1,,1,1,40,,0.0,,4,-1,,1,2,40,,0.0,,4,-1,,1,3,40,,0.0,,4,-1,,1,4,40,,0.0,,4,-1,,1,5,40,,0.0,,4,-1,,1,6,40,,0.0,,4,-1,,1,7,40,,0.0,,4,-1,,1,8,40,,0.0,,4,-1,,1,9,40,,0.0,,4,-1,,1,10,40,,0.0,0,,1,1
41,t4e723rq,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,41,,0.0,1,1,41,,0.0,0,1,1,41,,0.0,697125b2-c33c-4f3e-88eb-2ecca58ed3e3,1,-1,,1,1,41,,0.0,,1,-1,,1,2,41,,0.0,,1,-1,,1,3,41,,0.0,,1,-1,,1,4,41,,0.0,,1,-1,,1,5,41,,0.0,,1,-1,,1,6,41,,0.0,,1,-1,,1,7,41,,0.0,,1,-1,,1,8,41,,0.0,,1,-1,,1,9,41,,0.0,,1,-1,,1,10,41,,0.0,0,,1,1
42,ttt9unm0,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,42,,0.0,1,1,42,,0.0,0,1,1,42,,0.0,a18b34f8-a587-44b2-87eb-a80bbfb1f02e,4,-1,,1,1,42,,0.0,,4,-1,,1,2,42,,0.0,,4,-1,,1,3,42,,0.0,,4,-1,,1,4,42,,0.0,,4,-1,,1,5,42,,0.0,,4,-1,,1,6,42,,0.0,,4,-1,,1,7,42,,0.0,,4,-1,,1,8,42,,0.0,,4,-1,,1,9,42,,0.0,,4,-1,,1,10,42,,0.0,0,,1,1
43,pmm2ckh4,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,43,,0.0,1,1,43,,0.0,0,1,1,43,,0.0,cd8a7e5c-1dce-41f1-b9ba-a29644a6d7bc,1,-1,,1,1,43,,0.0,,1,-1,,1,2,43,,0.0,,1,-1,,1,3,43,,0.0,,1,-1,,1,4,43,,0.0,,1,-1,,1,5,43,,0.0,,1,-1,,1,6,43,,0.0,,1,-1,,1,7,43,,0.0,,1,-1,,1,8,43,,0.0,,1,-1,,1,9,43,,0.0,,1,-1,,1,10,43,,0.0,0,,1,1
44,7ju1l6gx,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,44,,0.0,1,1,44,,0.0,0,1,1,44,,0.0,1a19dd05-f7f0-4047-b348-df384798312b,3,-1,,1,1,44,,0.0,,3,-1,,1,2,44,,0.0,,3,-1,,1,3,44,,0.0,,3,-1,,1,4,44,,0.0,,3,-1,,1,5,44,,0.0,,3,-1,,1,6,44,,0.0,,3,-1,,1,7,44,,0.0,,3,-1,,1,8,44,,0.0,,3,-1,,1,9,44,,0.0,,3,-1,,1,10,44,,0.0,0,,1,1
45,y9tutxfb,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,45,,0.0,1,1,45,,0.0,0,1,1,45,,0.0,a98c11be-5581-4495-ad15-af2ad0b6f68c,1,-1,,1,1,45,,0.0,,1,-1,,1,2,45,,0.0,,1,-1,,1,3,45,,0.0,,1,-1,,1,4,45,,0.0,,1,-1,,1,5,45,,0.0,,1,-1,,1,6,45,,0.0,,1,-1,,1,7,45,,0.0,,1,-1,,1,8,45,,0.0,,1,-1,,1,9,45,,0.0,,1,-1,,1,10,45,,0.0,0,,1,1
46,fmfla91t,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,46,,0.0,1,1,46,,0.0,0,1,1,46,,0.0,3973553c-9d8c-4515-9f1e-144ea7410a39,1,-1,,1,1,46,,0.0,,1,-1,,1,2,46,,0.0,,1,-1,,1,3,46,,0.0,,1,-1,,1,4,46,,0.0,,1,-1,,1,5,46,,0.0,,1,-1,,1,6,46,,0.0,,1,-1,,1,7,46,,0.0,,1,-1,,1,8,46,,0.0,,1,-1,,1,9,46,,0.0,,1,-1,,1,10,46,,0.0,0,,1,1
47,ejpdsi6x,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,47,,0.0,1,1,47,,0.0,0,1,1,47,,0.0,468c086a-71bb-4653-b733-7ed1d73c29d7,3,-1,,1,1,47,,0.0,,3,-1,,1,2,47,,0.0,,3,-1,,1,3,47,,0.0,,3,-1,,1,4,47,,0.0,,3,-1,,1,5,47,,0.0,,3,-1,,1,6,47,,0.0,,3,-1,,1,7,47,,0.0,,3,-1,,1,8,47,,0.0,,3,-1,,1,9,47,,0.0,,3,-1,,1,10,47,,0.0,0,,1,1
48,3814v5vq,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,48,,0.0,1,1,48,,0.0,0,1,1,48,,0.0,d49bc0b8-63d9-4d18-8353-c460639cc9d4,1,-1,,1,1,48,,0.0,,1,-1,,1,2,48,,0.0,,1,-1,,1,3,48,,0.0,,1,-1,,1,4,48,,0.0,,1,-1,,1,5,48,,0.0,,1,-1,,1,6,48,,0.0,,1,-1,,1,7,48,,0.0,,1,-1,,1,8,48,,0.0,,1,-1,,1,9,48,,0.0,,1,-1,,1,10,48,,0.0,0,,1,1
49,abzli3n9,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,49,,0.0,1,1,49,,0.0,0,1,1,49,,0.0,a671c7ae-d3d0-4ee4-be0e-768d4b2ce79e,3,-1,,1,1,49,,0.0,,3,-1,,1,2,49,,0.0,,3,-1,,1,3,49,,0.0,,3,-1,,1,4,49,,0.0,,3,-1,,1,5,49,,0.0,,3,-1,,1,6,49,,0.0,,3,-1,,1,7,49,,0.0,,3,-1,,1,8,49,,0.0,,3,-1,,1,9,49,,0.0,,3,-1,,1,10,49,,0.0,0,,1,1
50,k4mgfz6r,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,50,,0.0,1,1,50,,0.0,0,1,1,50,,0.0,b9960ff7-37e5-4b32-8bd4-68a9dee9477a,3,-1,,1,1,50,,0.0,,3,-1,,1,2,50,,0.0,,3,-1,,1,3,50,,0.0,,3,-1,,1,4,50,,0.0,,3,-1,,1,5,50,,0.0,,3,-1,,1,6,50,,0.0,,3,-1,,1,7,50,,0.0,,3,-1,,1,8,50,,0.0,,3,-1,,1,9,50,,0.0,,3,-1,,1,10,50,,0.0,0,,1,1
51,w9yj161x,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,51,,0.0,1,1,51,,0.0,0,1,1,51,,0.0,b6e9b393-8978-4760-af5d-853ca903d7a9,1,-1,,1,1,51,,0.0,,1,-1,,1,2,51,,0.0,,1,-1,,1,3,51,,0.0,,1,-1,,1,4,51,,0.0,,1,-1,,1,5,51,,0.0,,1,-1,,1,6,51,,0.0,,1,-1,,1,7,51,,0.0,,1,-1,,1,8,51,,0.0,,1,-1,,1,9,51,,0.0,,1,-1,,1,10,51,,0.0,0,,1,1
52,dkayxf9n,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,52,,0.0,1,1,52,,0.0,0,1,1,52,,0.0,3bb423cb-b04a-40c2-b02a-9b990a687e24,1,-1,,1,1,52,,0.0,,1,-1,,1,2,52,,0.0,,1,-1,,1,3,52,,0.0,,1,-1,,1,4,52,,0.0,,1,-1,,1,5,52,,0.0,,1,-1,,1,6,52,,0.0,,1,-1,,1,7,52,,0.0,,1,-1,,1,8,52,,0.0,,1,-1,,1,9,52,,0.0,,1,-1,,1,10,52,,0.0,0,,1,1
53,fa19nm63,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,53,,0.0,1,1,53,,0.0,0,1,1,53,,0.0,be319bea-b67f-490c-8534-18a5434de47e,1,-1,,1,1,53,,0.0,,1,-1,,1,2,53,,0.0,,1,-1,,1,3,53,,0.0,,1,-1,,1,4,53,,0.0,,1,-1,,1,5,53,,0.0,,1,-1,,1,6,53,,0.0,,1,-1,,1,7,53,,0.0,,1,-1,,1,8,53,,0.0,,1,-1,,1,9,53,,0.0,,1,-1,,1,10,53,,0.0,0,,1,1
54,52h5pyin,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,54,,0.0,1,1,54,,0.0,0,1,1,54,,0.0,28d78d89-46bd-474e-ad8e-18eb4acb73d7,4,-1,,1,1,54,,0.0,,4,-1,,1,2,54,,0.0,,4,-1,,1,3,54,,0.0,,4,-1,,1,4,54,,0.0,,4,-1,,1,5,54,,0.0,,4,-1,,1,6,54,,0.0,,4,-1,,1,7,54,,0.0,,4,-1,,1,8,54,,0.0,,4,-1,,1,9,54,,0.0,,4,-1,,1,10,54,,0.0,0,,1,1
55,n1woey4i,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,55,,0.0,1,1,55,,0.0,0,1,1,55,,0.0,50d0311f-35ee-4c85-b52c-1999432b4073,4,-1,,1,1,55,,0.0,,4,-1,,1,2,55,,0.0,,4,-1,,1,3,55,,0.0,,4,-1,,1,4,55,,0.0,,4,-1,,1,5,55,,0.0,,4,-1,,1,6,55,,0.0,,4,-1,,1,7,55,,0.0,,4,-1,,1,8,55,,0.0,,4,-1,,1,9,55,,0.0,,4,-1,,1,10,55,,0.0,0,,1,1
56,a77hqk1t,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,56,,0.0,1,1,56,,0.0,0,1,1,56,,0.0,91e9d641-f623-4010-809f-cabcef05350d,3,-1,,1,1,56,,0.0,,3,-1,,1,2,56,,0.0,,3,-1,,1,3,56,,0.0,,3,-1,,1,4,56,,0.0,,3,-1,,1,5,56,,0.0,,3,-1,,1,6,56,,0.0,,3,-1,,1,7,56,,0.0,,3,-1,,1,8,56,,0.0,,3,-1,,1,9,56,,0.0,,3,-1,,1,10,56,,0.0,0,,1,1
57,7z6crx5a,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,57,,0.0,1,1,57,,0.0,0,1,1,57,,0.0,a8b06ea7-54f4-447f-9b91-c9e3a8c5a350,1,-1,,1,1,57,,0.0,,1,-1,,1,2,57,,0.0,,1,-1,,1,3,57,,0.0,,1,-1,,1,4,57,,0.0,,1,-1,,1,5,57,,0.0,,1,-1,,1,6,57,,0.0,,1,-1,,1,7,57,,0.0,,1,-1,,1,8,57,,0.0,,1,-1,,1,9,57,,0.0,,1,-1,,1,10,57,,0.0,0,,1,1
58,wxkdh1vy,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,58,,0.0,1,1,58,,0.0,0,1,1,58,,0.0,692a8bb4-fcae-45af-88da-63db3ac78fbd,1,-1,,1,1,58,,0.0,,1,-1,,1,2,58,,0.0,,1,-1,,1,3,58,,0.0,,1,-1,,1,4,58,,0.0,,1,-1,,1,5,58,,0.0,,1,-1,,1,6,58,,0.0,,1,-1,,1,7,58,,0.0,,1,-1,,1,8,58,,0.0,,1,-1,,1,9,58,,0.0,,1,-1,,1,10,58,,0.0,0,,1,1
59,7i22pmeg,,0,0,45,,,,0,,,0.0,7109kxxy,,,,,0,1.0,ego_human,0.02,59,,0.0,1,1,59,,0.0,0,1,1,59,,0.0,0fdf8cff-8829-463c-8918-82015d70ac44,1,-1,,1,1,59,,0.0,,1,-1,,1,2,59,,0.0,,1,-1,,1,3,59,,0.0,,1,-1,,1,4,59,,0.0,,1,-1,,1,5,59,,0.0,,1,-1,,1,6,59,,0.0,,1,-1,,1,7,59,,0.0,,1,-1,,1,8,59,,0.0,,1,-1,,1,9,59,,0.0,,1,-1,,1,10,59,,0.0,0,,1,1
