participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.llm_id,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.llm_id,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.llm_id,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.llm_id,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.llm_id,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.llm_id,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.llm_id,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.llm_id,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.llm_id,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.llm_id,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number,abweisung.1.player.id_in_group,abweisung.1.player.role,abweisung.1.player.payoff,abweisung.1.player.pw,abweisung.1.group.id_in_subsession,abweisung.1.subsession.round_number
11,3igd806u,O1JEH2,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:02:35.919161,1,,,92.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,11,,0.0,1,1,11,,0.0,1,1,1,11,,28.0,b42b9106-aadd-4a39-b797-d6704c5e01f5,1,2,1,1,1,11,,8.0,,1,2,2,1,2,11,,8.0,,1,2,2,1,3,11,,0.0,,1,1,2,1,4,11,,8.0,,1,2,2,1,5,11,,8.0,,1,2,2,1,6,11,,8.0,,1,2,2,1,7,11,,8.0,,1,2,2,1,8,11,,8.0,,1,2,2,1,9,11,,8.0,,1,2,2,1,10,11,,0.0,1,,1,1,,,,,,
12,33do04tz,OlhoDl,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:04:10.821661,1,,,100.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,12,,0.0,1,1,12,,0.0,1,1,1,12,,20.0,049d7eef-b661-4c2b-a77b-e28e77fc1456,3,1,1,1,1,12,,20.0,,3,1,1,1,2,12,,28.0,,3,2,1,1,3,12,,0.0,,3,1,2,1,4,12,,0.0,,3,1,2,1,5,12,,8.0,,3,2,2,1,6,12,,8.0,,3,2,2,1,7,12,,8.0,,3,2,2,1,8,12,,0.0,,3,1,2,1,9,12,,8.0,,3,2,2,1,10,12,,0.0,1,,1,1,,,,,,
13,519ij1wc,ndLmXQ,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:04:11.158350,1,,,208.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,13,,0.0,1,1,13,,0.0,1,1,1,13,,20.0,c3e872d7-da08-45e3-a4b0-ae84c7735c1a,1,1,1,1,1,13,,20.0,,1,1,1,1,2,13,,20.0,,1,1,1,1,3,13,,20.0,,1,1,1,1,4,13,,20.0,,1,1,1,1,5,13,,20.0,,1,1,1,1,6,13,,20.0,,1,1,1,1,7,13,,20.0,,1,1,1,1,8,13,,20.0,,1,1,1,1,9,13,,28.0,,1,2,1,1,10,13,,0.0,1,,1,1,,,,,,
14,vghw62g2,9Qp0Av,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:04:15.263919,1,,,200.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,14,,0.0,1,1,14,,0.0,1,1,1,14,,20.0,33fbb962-393a-4605-bd2f-55c6206df875,1,1,1,1,1,14,,20.0,,1,1,1,1,2,14,,20.0,,1,1,1,1,3,14,,20.0,,1,1,1,1,4,14,,20.0,,1,1,1,1,5,14,,20.0,,1,1,1,1,6,14,,20.0,,1,1,1,1,7,14,,20.0,,1,1,1,1,8,14,,20.0,,1,1,1,1,9,14,,20.0,,1,1,1,1,10,14,,0.0,1,,1,1,,,,,,
15,tzo7lw1i,cN3uhj,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:04:50.991532,1,,,152.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,15,,0.0,1,1,15,,0.0,1,1,1,15,,20.0,76104591-bbff-4f15-a56d-ef4b69c3cd4f,3,1,1,1,1,15,,20.0,,3,1,1,1,2,15,,20.0,,3,1,1,1,3,15,,20.0,,3,1,1,1,4,15,,20.0,,3,1,1,1,5,15,,28.0,,3,2,1,1,6,15,,0.0,,3,1,2,1,7,15,,8.0,,3,2,2,1,8,15,,8.0,,3,2,2,1,9,15,,8.0,,3,2,2,1,10,15,,0.0,1,,1,1,,,,,,
16,4t11eok6,345FnQ,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:04:52.784964,1,,,100.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,16,,0.0,1,1,16,,0.0,1,1,1,16,,20.0,236da6ca-698d-4bdf-9738-dba09453fbe0,4,1,1,1,1,16,,20.0,,4,1,1,1,2,16,,28.0,,4,2,1,1,3,16,,8.0,,4,2,2,1,4,16,,0.0,,4,1,2,1,5,16,,8.0,,4,2,2,1,6,16,,0.0,,4,1,2,1,7,16,,0.0,,4,1,2,1,8,16,,8.0,,4,2,2,1,9,16,,8.0,,4,2,2,1,10,16,,0.0,1,,1,1,,,,,,
17,1xpuyipa,1UGoGB,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:05:51.384266,1,,,76.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,17,,0.0,1,1,17,,0.0,1,1,1,17,,28.0,92b0809e-9834-455d-b5f9-d2c9e2ba8361,4,2,1,1,1,17,,8.0,,4,2,2,1,2,17,,8.0,,4,2,2,1,3,17,,0.0,,4,1,2,1,4,17,,0.0,,4,1,2,1,5,17,,0.0,,4,1,2,1,6,17,,8.0,,4,2,2,1,7,17,,8.0,,4,2,2,1,8,17,,8.0,,4,2,2,1,9,17,,8.0,,4,2,2,1,10,17,,0.0,1,,1,1,,,,,,
18,h8k224gc,K94HF6,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:07:21.628962,1,,,92.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,18,,0.0,1,1,18,,0.0,1,1,1,18,,28.0,d6dfee4b-a4fa-45c2-a070-00c978175d2f,4,2,1,1,1,18,,0.0,,4,1,2,1,2,18,,8.0,,4,2,2,1,3,18,,8.0,,4,2,2,1,4,18,,8.0,,4,2,2,1,5,18,,8.0,,4,2,2,1,6,18,,8.0,,4,2,2,1,7,18,,8.0,,4,2,2,1,8,18,,8.0,,4,2,2,1,9,18,,8.0,,4,2,2,1,10,18,,0.0,1,,1,1,,,,,,
19,rpbt218c,PE2NX9,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:07:35.593974,1,,,92.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,19,,0.0,1,1,19,,0.0,1,1,1,19,,28.0,ceedd83f-8433-4d72-a54b-049954627262,1,2,1,1,1,19,,8.0,,1,2,2,1,2,19,,0.0,,1,1,2,1,3,19,,8.0,,1,2,2,1,4,19,,8.0,,1,2,2,1,5,19,,8.0,,1,2,2,1,6,19,,8.0,,1,2,2,1,7,19,,8.0,,1,2,2,1,8,19,,8.0,,1,2,2,1,9,19,,8.0,,1,2,2,1,10,19,,0.0,1,,1,1,,,,,,
20,f6zyhtd9,DsAYNS,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:08:05.947514,1,,,104.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,20,,0.0,1,1,20,,0.0,1,1,1,20,,20.0,7694fe63-2ab7-451d-b079-4c61031beb23,4,1,1,1,1,20,,28.0,,4,2,1,1,2,20,,8.0,,4,2,2,1,3,20,,0.0,,4,1,2,1,4,20,,8.0,,4,2,2,1,5,20,,8.0,,4,2,2,1,6,20,,8.0,,4,2,2,1,7,20,,8.0,,4,2,2,1,8,20,,8.0,,4,2,2,1,9,20,,8.0,,4,2,2,1,10,20,,0.0,1,,1,1,,,,,,
